text,start,duration,rank
today we will see network topology upon,0:00:00,5.701,50
coming to the advantages and,0:08:51,4.109,50
24 computers are not sufficient you have,0:09:10,4.65,50
computers to the switch if you find that,0:09:08,4.92,50
ports for example you can connect 24,0:09:05,4.979,50
the hub or a switch if the switch has 24,0:09:02,5.28,50
centralized administrator here this is,0:09:00,5.01,50
implement at the same time we have a,0:08:58,4.68,50
definitely very easy to design and,0:08:56,4.441,50
disadvantages of star topology it is,0:08:53,4.5,50
elaborately in the next lecture,0:08:49,3.93,50
if you observe keenly in the previous,0:08:28,4.86,50
hub or switch which will be dealt,0:08:47,4.11,50
but there are some differences between,0:08:45,3.899,50
communication or see this communication,0:08:43,3.931,50
no way for others to hear this,0:08:41,3.781,50
path of this communication and there is,0:08:39,3.93,50
this node and if this is going to be the,0:08:37,4.349,50
if this node wants to send some data to,0:08:35,4.649,50
to receive a copy of the data but here,0:08:32,4.711,50
50 more computers you bring another,0:09:12,4.44,50
switch and connect all the computers to,0:09:15,3.72,50
that switch and again make a,0:09:17,3.091,50
communication between this switch and,0:09:18,3.93,50
obviously it is going to increase the,0:10:00,4.68,50
for purchasing this hub or a switch so,0:09:58,4.589,50
bottleneck you have to spend some money,0:09:56,4.74,50
affected that is what we call as a,0:09:53,4.471,50
the communication or the performance is,0:09:51,4.17,50
of traffic and lot of processing then,0:09:48,4.95,50
time if this node is overloaded with lot,0:09:45,6.18,50
communication can take place at the same,0:09:43,5.49,50
switch or the hub is failed no,0:09:41,4.62,50
entire network if this node that is the,0:09:38,4.769,50
in this central node will affect the,0:09:36,4.62,50
has a serious disadvantages to a failure,0:09:33,5.401,50
is a scalable Network and star topology,0:09:30,5.969,50
is a centralized administration and it,0:09:28,5.039,50
easy to design and implement and there,0:09:25,5.011,50
a scalable network so star topology is,0:09:22,5.341,50
this switch so that this network becomes,0:09:20,4.979,50
cases there were chances for other nodes,0:08:30,4.831,50
destination,0:08:27,3.18,50
to this node it is very easy to send,0:06:54,4.92,50
the entire network and this is what the,0:07:20,4.29,50
order to reach the destination and,0:07:38,3.87,50
cross so many intermediary nodes in,0:07:36,3.691,50
this computer but again this has to,0:07:34,4.201,50
going to send some confidential data to,0:07:32,4.139,50
network is getting degraded if this is,0:07:30,4.049,50
network then the performance of the,0:07:28,4.111,50
if there is very high load in the,0:07:25,4.891,50
primary disadvantage of a ring topology,0:07:23,4.829,50
or a link failure will definitely affect,0:07:18,5.28,50
data to this node that is the,0:08:25,2.46,50
disrupted because of this a node failure,0:07:15,5.52,50
is failed so the entire network is,0:07:13,5.01,50
a single point of failure say this link,0:07:10,4.829,50
is being uni direction at the same time,0:07:07,5.131,50
destination and one of the disadvantages,0:07:05,5.341,50
many nodes and finally reach the,0:07:03,4.679,50
has to send the data by crossing these,0:07:01,3.87,50
unidirectional communication pattern it,0:06:59,4.02,50
obviously there is no security in this,0:07:40,3.889,50
ring topology,0:07:42,4.249,50
never will see that third topology the,0:07:43,5.88,50
star topology in this case every node is,0:07:46,4.77,50
of this hub or switch to forward the,0:08:23,3.81,50
switch here and it is the responsibility,0:08:21,3.78,50
central node which is the hub or the,0:08:19,3.51,50
this is going to send the data to the,0:08:18,3.39,50
send some data to this node so obviously,0:08:15,3.99,50
switch suppose if this node wants to,0:08:13,4.98,50
traffic must pass through the hub or a,0:08:11,4.65,50
centralized administration and all,0:08:09,4.23,50
